protocol,n,threshold,malicious_spec,latency_ms,seed,samples,deal_ms,verify_ms,complaint_ms,keygen_ms,pattern,wall_ms,messages,bytes,rounds,faulty,complaints,qual,reconstructed_ok,padded
neji,16,8,"none",0,7,5,5.5166,1.6697,0.0004,24.6894,broadcast,1.2315,240,330240,1,"",0,16,true,false
gurkan,16,8,"none",0,7,5,17.9378,81.0522,0.0000,7.7741,tree,4.3612,15,45120,4,"",0,16,true,false
btsof,16,8,"none",0,7,5,32.0632,9.1846,0.0006,114.2303,broadcast,1.2455,240,1635840,1,"",0,16,true,false
kalai2022,16,8,"none",0,7,5,41.9966,11.5862,0.0006,181.4842,broadcast,1.2777,240,2127360,1,"",0,16,true,false
aggregatable2025,16,8,"none",0,7,5,60.9167,91.6303,0.0004,197.5453,tree,4.5425,15,45120,4,"",0,16,true,false
aggregatable2025,16,8,"none",0,7,5,60.9167,91.6303,0.0004,197.5453,broadcast,1.2472,240,1612800,1,"",0,16,true,false
neji,64,32,"none",0,7,3,19.8959,7.5163,0.0008,363.8427,broadcast,3.9695,4032,21030912,1,"",0,64,true,false
gurkan,64,32,"none",0,7,3,63.3382,336.3393,0.0000,22.4830,tree,7.1555,63,697536,6,"",0,64,true,false
btsof,64,32,"none",0,7,3,131.8116,41.3886,0.0015,1834.2780,broadcast,3.4642,4032,107993088,1,"",0,64,true,false
kalai2022,64,32,"none",0,7,3,170.0751,52.1258,0.0025,2897.9412,broadcast,3.8130,4032,141023232,1,"",0,64,true,false
aggregatable2025,64,32,"none",0,7,3,226.6474,356.1791,0.0008,3239.6192,tree,6.7421,63,697536,6,"",0,64,true,false
aggregatable2025,64,32,"none",0,7,3,226.6474,356.1791,0.0008,3239.6192,broadcast,4.0207,4032,106057728,1,"",0,64,true,false
neji,8,4,"none",0,7,3,2.7797,0.7842,0.0002,6.1747,broadcast,1.1504,56,41216,1,"",0,8,true,false
gurkan,8,4,"none",0,7,3,11.2007,43.0906,0.0000,5.4958,tree,3.3112,7,11648,3,"",0,8,true,false
btsof,8,4,"none",0,7,3,16.4360,4.4117,0.0004,29.9903,broadcast,1.1335,56,195328,1,"",0,8,true,false
kalai2022,8,4,"none",0,7,3,21.6528,5.9065,0.0004,46.8722,broadcast,1.1418,56,252672,1,"",0,8,true,false
aggregatable2025,8,4,"none",0,7,3,34.4000,49.5823,0.0003,51.3794,tree,3.4721,7,11648,3,"",0,8,true,false
aggregatable2025,8,4,"none",0,7,3,34.4000,49.5823,0.0003,51.3794,broadcast,1.1449,56,193536,1,"",0,8,true,false
neji,32,16,"none",0,7,3,10.5488,3.4650,0.0005,96.2577,broadcast,1.4587,992,2634752,1,"",0,32,true,false
gurkan,32,16,"none",0,7,3,33.4222,168.7179,0.0000,12.7145,tree,5.5775,31,176576,5,"",0,32,true,false
btsof,32,16,"none",0,7,3,62.8240,18.4484,0.0008,465.6972,broadcast,1.6481,992,13364224,1,"",0,32,true,false
kalai2022,32,16,"none",0,7,3,88.7764,25.6488,0.0009,786.9532,broadcast,1.4676,992,17427456,1,"",0,32,true,false
aggregatable2025,32,16,"none",0,7,3,121.0095,186.9144,0.0007,807.5650,tree,5.7356,31,176576,5,"",0,32,true,false
aggregatable2025,32,16,"none",0,7,3,121.0095,186.9144,0.0007,807.5650,broadcast,1.4120,992,13142016,1,"",0,32,true,false
