protocol,n,threshold,malicious_spec,latency_ms,seed,samples,deal_ms,verify_ms,complaint_ms,keygen_ms,pattern,wall_ms,messages,bytes,rounds,faulty,complaints,qual,reconstructed_ok,padded
neji,8,4,"none",0,7,3,5.5026,1.5376,0.0002,12.6401,broadcast,1.1222,56,61824,1,"",0,8,true,false
gurkan,8,4,"none",0,7,3,10.9606,41.9744,0.0000,5.1948,tree,3.3813,7,11648,3,"",0,8,true,false
btsof,8,4,"none",0,7,3,32.4340,9.3872,0.0003,63.2399,broadcast,1.1061,56,292992,1,"",0,8,true,false
kalai2022,8,4,"none",0,7,3,41.8080,11.6439,0.0003,96.2650,broadcast,1.1472,56,379008,1,"",0,8,true,false
aggregatable2025,8,4,"none",0,7,3,32.9575,49.7530,0.0003,49.9109,tree,3.2840,7,11648,3,"",0,8,true,false
aggregatable2025,8,4,"none",0,7,3,32.9575,49.7530,0.0003,49.9109,broadcast,1.1208,56,193536,1,"",0,8,true,false
neji,16,8,"none",0,7,3,10.8281,3.1261,0.0004,50.7765,broadcast,1.2585,240,495360,1,"",0,16,true,false
gurkan,16,8,"none",0,7,3,16.7152,72.7051,0.0000,6.9004,tree,3.6265,15,45120,4,"",0,16,true,false
btsof,16,8,"none",0,7,3,62.5748,17.6255,0.0006,234.3592,broadcast,1.2221,240,2453760,1,"",0,16,true,false
kalai2022,16,8,"none",0,7,3,81.4794,23.3928,0.0009,373.0636,broadcast,1.3030,240,3191040,1,"",0,16,true,false
aggregatable2025,16,8,"none",0,7,3,60.7618,84.1763,0.0005,188.0220,tree,4.6687,15,45120,4,"",0,16,true,false
aggregatable2025,16,8,"none",0,7,3,60.7618,84.1763,0.0005,188.0220,broadcast,1.2101,240,1612800,1,"",0,16,true,false
neji,32,16,"none",0,7,3,20.0762,6.0826,0.0004,183.8574,broadcast,2.5583,992,3952128,1,"",0,32,true,false
gurkan,32,16,"none",0,7,3,30.7130,144.3995,0.0000,10.9741,tree,5.7674,31,176576,5,"",0,32,true,false
btsof,32,16,"none",0,7,3,119.3625,34.9127,0.0008,914.3864,broadcast,1.6706,992,20046336,1,"",0,32,true,false
kalai2022,32,16,"none",0,7,3,159.1569,46.5676,0.0008,1474.6666,broadcast,1.6198,992,26141184,1,"",0,32,true,false
aggregatable2025,32,16,"none",0,7,3,109.6110,169.0557,0.0007,743.3662,tree,4.8961,31,176576,5,"",0,32,true,false
aggregatable2025,32,16,"none",0,7,3,109.6110,169.0557,0.0007,743.3662,broadcast,1.4384,992,13142016,1,"",0,32,true,false
neji,64,32,"none",0,7,3,40.3518,13.3903,0.0007,744.9990,broadcast,3.5571,4032,31546368,1,"",0,64,true,false
gurkan,64,32,"none",0,7,3,53.7834,283.5082,0.0000,19.5892,tree,7.0250,63,697536,6,"",0,64,true,false
btsof,64,32,"none",0,7,3,242.1611,74.2807,0.0014,3678.5781,broadcast,3.2932,4032,161989632,1,"",0,64,true,false
kalai2022,64,32,"none",0,7,3,325.4821,99.4740,0.0024,6042.4383,broadcast,3.7721,4032,211534848,1,"",0,64,true,false
aggregatable2025,64,32,"none",0,7,3,217.5373,338.5532,0.0010,3031.8715,tree,6.6790,63,697536,6,"",0,64,true,false
aggregatable2025,64,32,"none",0,7,3,217.5373,338.5532,0.0010,3031.8715,broadcast,3.5874,4032,106057728,1,"",0,64,true,false
