curve,protocol,n,deal_ms,verify_ms,keygen_ms,total_bytes
Jubjub,btsof,8,16.436,4.4117,29.9903,195328
Jubjub,btsof,16,32.0632,9.1846,114.2303,1635840
Jubjub,btsof,32,62.824,18.4484,465.6972,13364224
Jubjub,btsof,64,131.8116,41.3886,1834.278,107993088
Jubjub,kalai2022,8,21.6528,5.9065,46.8722,252672
Jubjub,kalai2022,16,41.9966,11.5862,181.4842,2127360
Jubjub,kalai2022,32,88.7764,25.6488,786.9532,17427456
Jubjub,kalai2022,64,170.0751,52.1258,2897.9412,141023232
Jubjub,neji,8,2.7797,0.7842,6.1747,41216
Jubjub,neji,16,5.5166,1.6697,24.6894,330240
Jubjub,neji,32,10.5488,3.465,96.2577,2634752
Jubjub,neji,64,19.8959,7.5163,363.8427,21030912
BLS12-381,aggregatable2025,8,32.9575,49.753,49.9109,205184
BLS12-381,aggregatable2025,16,60.7618,84.1763,188.022,1657920
BLS12-381,aggregatable2025,32,109.611,169.0557,743.3662,13318592
BLS12-381,aggregatable2025,64,217.5373,338.5532,3031.8715,106755264
BLS12-381,btsof,8,32.434,9.3872,63.2399,292992
BLS12-381,btsof,16,62.5748,17.6255,234.3592,2453760
BLS12-381,btsof,32,119.3625,34.9127,914.3864,20046336
BLS12-381,btsof,64,242.1611,74.2807,3678.5781,161989632
BLS12-381,gurkan,8,10.9606,41.9744,5.1948,11648
BLS12-381,gurkan,16,16.7152,72.7051,6.9004,45120
BLS12-381,gurkan,32,30.713,144.3995,10.9741,176576
BLS12-381,gurkan,64,53.7834,283.5082,19.5892,697536
BLS12-381,kalai2022,8,41.808,11.6439,96.265,379008
BLS12-381,kalai2022,16,81.4794,23.3928,373.0636,3191040
BLS12-381,kalai2022,32,159.1569,46.5676,1474.6666,26141184
BLS12-381,kalai2022,64,325.4821,99.474,6042.4383,211534848
BLS12-381,neji,8,5.5026,1.5376,12.6401,61824
BLS12-381,neji,16,10.8281,3.1261,50.7765,495360
BLS12-381,neji,32,20.0762,6.0826,183.8574,3952128
BLS12-381,neji,64,40.3518,13.3903,744.999,31546368
