protocol,layer_mode,n,threshold,num_malicious,deal_ms,verify_ms,complaint_ms,keygen_ms,faulty_count,complaints,qual,reconstructed_ok
gurkan,z,16,8,0,17.8602,79.1243,0.0000,7.5596,0,0,16,true
gurkan,z,16,8,1,17.9310,76.0964,0.0000,7.5989,1,0,15,true
gurkan,z,16,8,3,18.0570,68.8049,0.0000,7.6543,3,0,13,true
gurkan,z,16,8,5,17.7334,62.6053,0.0000,7.5724,5,0,11,true
gurkan,z,16,8,7,18.0709,54.7009,0.0000,7.5861,7,0,9,true
gurkan,z,64,32,0,59.6484,315.1708,0.0000,21.4687,0,0,64,true
gurkan,z,64,32,2,60.2489,310.4979,0.0000,21.5902,2,0,62,true
gurkan,z,64,32,8,59.2942,286.3598,0.0000,21.4805,8,0,56,true
gurkan,z,64,32,16,59.7919,257.9053,0.0000,21.4633,16,0,48,true
gurkan,z,64,32,31,62.8046,213.1846,0.0000,22.7980,31,0,33,true
neji,z,16,8,0,5.1522,1.5448,0.0005,22.8695,0,0,16,true
neji,z,16,8,1,5.0780,1.5547,0.1826,21.2953,0,1,15,true
neji,z,16,8,3,5.1029,1.5437,0.5356,18.7229,0,3,13,true
neji,z,16,8,5,5.4745,1.6201,0.9312,17.1572,0,5,11,true
neji,z,16,8,7,5.1792,1.5775,1.2736,13.1003,0,7,9,true
neji,z,64,32,0,19.8856,7.5855,0.0009,364.8515,0,0,64,true
neji,z,64,32,2,20.1022,7.6703,0.3933,377.7763,0,2,62,true
neji,z,64,32,8,20.0161,7.7557,1.6226,321.4698,0,8,56,true
neji,z,64,32,16,20.0763,7.5683,3.2198,275.0544,0,16,48,true
neji,z,64,32,31,21.2146,8.0796,6.7168,201.3775,0,31,33,true
btsof,xy,16,8,0,32.9900,9.3207,0.0008,122.1763,0,0,16,true
btsof,xy,16,8,1,31.1633,8.7958,5.0377,107.0733,0,1,15,true
btsof,xy,16,8,3,33.0600,9.5342,16.2155,99.9071,0,3,13,true
