series,latency_ms,wall_ms,bytes,rounds
aggregatable2025_broadcast,0,1.3811,13142016,1
aggregatable2025_broadcast,50,51.4976,13142016,1
aggregatable2025_broadcast,100,101.4590,13142016,1
aggregatable2025_broadcast,200,201.6174,13142016,1
aggregatable2025_tree,0,5.8178,176576,5
aggregatable2025_tree,50,256.3238,176576,5
aggregatable2025_tree,100,505.9159,176576,5
aggregatable2025_tree,200,1005.8354,176576,5
btsof,0,1.4428,13364224,1
btsof,50,52.5324,13364224,1
btsof,100,102.1937,13364224,1
btsof,200,201.6770,13364224,1
gurkan,0,5.6723,176576,5
gurkan,50,255.3011,176576,5
gurkan,100,505.4230,176576,5
gurkan,200,1006.5951,176576,5
kalai2022,0,1.8640,17427456,1
kalai2022,50,51.5402,17427456,1
kalai2022,100,101.9134,17427456,1
kalai2022,200,201.8736,17427456,1
neji,0,1.8320,2634752,1
neji,50,52.7147,2634752,1
neji,100,101.8394,2634752,1
neji,200,201.9570,2634752,1
