series,num_malicious,complaint_ms,keygen_ms,verify_ms,deal_ms,faulty_count,complaints,qual,reconstructed_ok
aggregatable2025_mixed,0,0.0005,206.7866,95.7460,64.5480,0,0,16,true
aggregatable2025_mixed,1,0.0005,203.2353,96.7448,67.2125,1,0,15,true
aggregatable2025_mixed,3,11.1611,165.4407,86.8890,62.6782,2,1,13,true
aggregatable2025_mixed,5,22.4980,139.7605,82.6058,62.6746,3,2,11,true
aggregatable2025_mixed,7,33.8204,115.7960,80.3129,62.5422,4,3,9,true
aggregatable2025_xy,0,0.0006,214.3565,99.3148,66.2588,0,0,16,true
aggregatable2025_xy,1,11.9605,200.2750,98.3512,65.7608,0,1,15,true
aggregatable2025_xy,3,33.4627,163.2427,92.4579,62.0963,0,3,13,true
aggregatable2025_xy,5,55.4311,137.0503,92.0362,61.2832,0,5,11,true
aggregatable2025_xy,7,77.5297,114.4981,92.0488,61.8020,0,7,9,true
aggregatable2025_z,0,0.0005,218.3937,101.2624,67.3809,0,0,16,true
aggregatable2025_z,1,0.0005,190.6424,90.4531,63.0762,1,0,15,true
aggregatable2025_z,3,0.0009,177.2614,89.4280,67.2565,3,0,13,true
aggregatable2025_z,5,0.0006,141.9934,77.1539,63.3109,5,0,11,true
aggregatable2025_z,7,0.0008,124.2622,73.1097,68.3110,7,0,9,true
btsof,0,0.0008,122.1763,9.3207,32.9900,0,0,16,true
btsof,1,5.0377,107.0733,8.7958,31.1633,0,1,15,true
btsof,3,16.2155,99.9071,9.5342,33.0600,0,3,13,true
btsof,5,25.3964,80.4007,8.8355,31.0328,0,5,11,true
btsof,7,37.7598,69.8371,9.3923,33.3218,0,7,9,true
gurkan,0,0.0000,7.5596,79.1243,17.8602,0,0,16,true
gurkan,1,0.0000,7.5989,76.0964,17.9310,1,0,15,true
gurkan,3,0.0000,7.6543,68.8049,18.0570,3,0,13,true
gurkan,5,0.0000,7.5724,62.6053,17.7334,5,0,11,true
gurkan,7,0.0000,7.5861,54.7009,18.0709,7,0,9,true
kalai2022,0,0.0009,196.0673,12.6699,45.1549,0,0,16,true
kalai2022,1,5.1286,172.9153,11.7186,42.1243,0,1,15,true
kalai2022,3,15.2697,149.6490,11.7851,41.8801,0,3,13,true
kalai2022,5,25.6824,127.6300,11.7381,42.2768,0,5,11,true
kalai2022,7,35.4864,103.5477,11.8207,42.1646,0,7,9,true
neji,0,0.0005,22.8695,1.5448,5.1522,0,0,16,true
neji,1,0.1826,21.2953,1.5547,5.0780,0,1,15,true
neji,3,0.5356,18.7229,1.5437,5.1029,0,3,13,true
neji,5,0.9312,17.1572,1.6201,5.4745,0,5,11,true
neji,7,1.2736,13.1003,1.5775,5.1792,0,7,9,true
